도번,LG부품,LG품명,비고
AJR30065902,AJR73743901,"Tube Assembly,Evaporator",
AJR30075101,4930A20053A,"Holder,Sensor",
AJR30075401,4930A20053A,"Holder,Sensor",
AJR30078601,4H00049A,"Tube,Pinch Off",
AJR30078701,4H00049A,"Tube,Pinch Off",
AJR30078702,4H00049A,"Tube,Pinch Off",
AJR30083101,MJU00892201,"Tube,Connector",
AJR30083101,MJU00893412,"Tube,Connector",
AJR30083101,MJU66466401,"Tube,Connector",
AJR30083102,MJU00892201,"Tube,Connector",
AJR30083102,MJU00893412,"Tube,Connector",
AJR30083102,MJU66466401,"Tube,Connector",
AJR30102201,4930A20053A,"Holder,Sensor",
AJR30116701,4H00049A,"Tube,Pinch Off",
AJR30125601,MJU66479001,"Tube,Connector",
AJR30133602,MJU00777113,"Tube,Connector",
AJR30133602,MJU00777609,"Tube,Connector",
AJR30133602,MJU00777610,"Tube,Connector",
AJR30133602,MJU66853321,"Tube,Connector",
AJR30133604,MJU00776712,"Tube,Connector",
AJR30133604,MJU66853322,"Tube,Connector",
AJR30133604,MJU66853324,"Tube,Connector",
AJR30133605,MJU66853321,"Tube,Connector",
AJR30133606,MJU00777113,"Tube,Connector",
AJR30133606,MJU00777609,"Tube,Connector",
AJR30133606,MJU00777610,"Tube,Connector",
AJR30133606,MJU66853321,"Tube,Connector",
AJR30133607,MJU66853322,"Tube,Connector",
AJR30133701,MJU00776614,"Tube,Connector",
AJR30133701,MJU65528065,"Tube,Connector",
AJR30133702,MJU00776614,"Tube,Connector",
AJR30133702,MJU65528066,"Tube,Connector",
AJR30133703,MJU65528066,"Tube,Connector",
AJR30133709,MJU00873804,"Tube,Connector",
AJR30161402,MJU00855804,"Tube,Connector",
AJR30161404,MJU65528066,"Tube,Connector",
AJR30161405,MJU00855818,"Tube,Connector",
AJR30161405,MJU00873804,"Tube,Connector",
AJR30161406,MJU65528065,"Tube,Connector",
AJR30161408,MJU65528065,"Tube,Connector",
AJR30167201,MJU00780003,"Tube,Connector",
AJR30359801,4930A20053A,"Holder,Sensor",
AJR32563602,4930A20053A,"Holder,Sensor",
AJR32846402,4H00049A,"Tube,Pinch Off",
AJR34511808,4930A20053A,"Holder,Sensor",
AJR34739801,5210A20322H,"Tube,Pinch Off",
AJR34739820,4H00049A,"Tube,Pinch Off",
AJR34739821,4H00049A,"Tube,Pinch Off",
AJR35724301,4H00049A,"Tube,Pinch Off",
AJR35938601,MJU41496102,"Tube,Discharge",
AJR35938601,MJU41496302,"Tube,Discharge",
AJR36013006,4930A20053A,"Holder,Sensor",
AJR36013006,EBF40271401,"Switch,Pressure",
AJR36013007,4930A20053A,"Holder,Sensor",
AJR36089801,4H00049A,"Tube,Pinch Off",
AJR36479502,MJU42132502,"Tube,Connector",
AJR36479502,MJU42132503,"Tube,Connector",
AJR36479508,MJU42132502,"Tube,Connector",
AJR36479508,MJU42132503,"Tube,Connector",
AJR37048418,MJU61920205,"Tube,Connector",
AJR37103404,4930A20053A,"Holder,Sensor",
AJR37103404,4H00049A,"Tube,Pinch Off",
AJR37161107,4H00049A,"Tube,Pinch Off",
AJR37161108,4H00049A,"Tube,Pinch Off",
AJR62820102,4H00049A,"Tube,Pinch Off",
AJR65507613,4930A20053A,"Holder,Sensor",
AJR65507704,4930A20053A,"Holder,Sensor",
AJR65507705,4930A20053A,"Holder,Sensor",
AJR65507708,4930A20053A,"Holder,Sensor",
AJR65507709,4930A20053A,"Holder,Sensor",
AJR65507710,4930A20053A,"Holder,Sensor",
AJR65507715,4930A20053A,"Holder,Sensor",
AJR65507716,4930A20053A,"Holder,Sensor",
AJR65507720,4930A20053A,"Holder,Sensor",
AJR65507726,4930A20053A,"Holder,Sensor",
AJR65507732,4930A20053A,"Holder,Sensor",
AJR65507733,4930A20053A,"Holder,Sensor",
AJR72367603,MJU61721901,"Tube,Connector",
AJR72367604,MJU61721901,"Tube,Connector",
AJR72367702,4H00049A,"Tube,Pinch Off",
AJR72367702,MJU61391901,"Tube,Connector",
AJR72367702,MJU61721901,"Tube,Connector",
AJR72572908,4H00049A,"Tube,Pinch Off",
AJR72914502,4930A20053A,"Holder,Sensor",
AJR72914508,4930A20053A,"Holder,Sensor",
AJR72914511,4930A20053A,"Holder,Sensor",
AJR72928401,4930A20053A,"Holder,Sensor",
AJR72928401,5210A22841A,"Tube,Coupling",
AJR72928401,MJU61885601,"Tube,Connector",
AJR72928402,5210A22841A,"Tube,Coupling",
AJR72928402,MJU61885601,"Tube,Connector",
AJR72933701,4H00049A,"Tube,Pinch Off",
AJR72937701,4930A20053A,"Holder,Sensor",
AJR72937701,4H00049A,"Tube,Pinch Off",
AJR72942401,4H00049A,"Tube,Pinch Off",
AJR72946422,4930A20053A,"Holder,Sensor",
AJR72946424,4930A20053A,"Holder,Sensor",
AJR72946805,4H00049A,"Tube,Pinch Off",
AJR72946806,4H00049A,"Tube,Pinch Off",
AJR72952503,MJU62097401,"Tube,Connector",
AJR72952603,MJU62097401,"Tube,Connector",
AJR72953103,4930A20053A,"Holder,Sensor",
AJR72954701,4H00049A,"Tube,Pinch Off",
AJR72954801,4930A20053A,"Holder,Sensor",
AJR72954801,5224A20005M,Strainer,
AJR72954801,MJU53401202,"Tube,Connector",
AJR72957301,4930A20053A,"Holder,Sensor",
AJR72957305,4930A20053A,"Holder,Sensor",
AJR72957305,5210A22841A,"Tube,Coupling",
AJR73005001,4930A20053A,"Holder,Sensor",
AJR73023601,MJU62030601,"Tube,Connector",
AJR73023601,MJU62030701,"Tube,Connector",
AJR73023801,MAZ61902210,Bracket,
AJR73065501,4930A20053A,"Holder,Sensor",
AJR73222701,4H00049A,"Tube,Pinch Off",
AJR73222702,4H00049A,"Tube,Pinch Off",
AJR73224001,MJU62266801,"Tube,Connector",
AJR73326604,4H00049A,"Tube,Pinch Off",
AJR73326605,4H00049A,"Tube,Pinch Off",
AJR73326607,4H00049A,"Tube,Pinch Off",
AJR73326616,4H00049A,"Tube,Pinch Off",
AJR73326624,4H00049A,"Tube,Pinch Off",
AJR73326629,4H00049A,"Tube,Pinch Off",
AJR73326630,4H00049A,"Tube,Pinch Off",
AJR73326634,4H00049A,"Tube,Pinch Off",
AJR73383001,4H00049A,"Tube,Pinch Off",
AJR73562802,4930A20053A,"Holder,Sensor",
AJR73562802,4H00049A,"Tube,Pinch Off",
AJR73562802,EBE60661401,Solenoid,
AJR73663301,4H00049A,"Tube,Pinch Off",
AJR73663302,4H00049A,"Tube,Pinch Off",
AJR73682802,4930A20053A,"Holder,Sensor",
AJR73682803,4930A20053A,"Holder,Sensor",
AJR73682805,4930A20053A,"Holder,Sensor",
AJR73703801,4930A20053A,"Holder,Sensor",
AJR73767304,AJR74488601,"Tube Assembly,Capillary",
AJR73767511,4930A20053A,"Holder,Sensor",
AJR73767513,4930A20053A,"Holder,Sensor",
AJR73767514,4930A20053A,"Holder,Sensor",
AJR73767711,4930A20053A,"Holder,Sensor",
AJR73767802,4930A20053A,"Holder,Sensor",
AJR73767802,5210A30334L,"Tube,Pinch Off",
AJR73767812,5210A30334L,"Tube,Pinch Off",
AJR73767813,4930A20053A,"Holder,Sensor",
AJR73767818,4930A20053A,"Holder,Sensor",
AJR73767818,5210A30334L,"Tube,Pinch Off",
AJR73767821,4930A20053A,"Holder,Sensor",
AJR73767821,5210A30334L,"Tube,Pinch Off",
AJR73768801,4930A20053A,"Holder,Sensor",
AJR73768803,4930A20053A,"Holder,Sensor",
AJR73822512,EAP30616906,"Coil,Expansion",
AJR73822523,EAP30616906,"Coil,Expansion",
AJR73822530,EAP62228706,"Coil,Expansion",
AJR73822530,EBE61441605,Solenoid,
AJR73822540,MJU41942220,"Tube,Suction",
AJR73882506,4930A20053A,"Holder,Sensor",
AJR73882506,5210A30334L,"Tube,Pinch Off",
AJR73882508,4930A20053A,"Holder,Sensor",
AJR73903407,4930A20053A,"Holder,Sensor",
AJR73909401,4H00049A,"Tube,Pinch Off",
AJR73915505,4930A20053A,"Holder,Sensor",
AJR73915506,4930A20053A,"Holder,Sensor",
AJR73915511,4930A20053A,"Holder,Sensor",
AJR73915512,4930A20053A,"Holder,Sensor",
AJR73945001,4930A20053A,"Holder,Sensor",
AJR73949101,4930A20053A,"Holder,Sensor",
AJR73949101,4H00049A,"Tube,Pinch Off",
AJR73964609,4930A20053A,"Holder,Sensor",
AJR73964902,4930A20053A,"Holder,Sensor",
AJR73964904,4930A20053A,"Holder,Sensor",
AJR73964905,4930A20053A,"Holder,Sensor",
AJR73964906,4930A20053A,"Holder,Sensor",
AJR73965601,4930A20053A,"Holder,Sensor",
AJR73965602,4930A20053A,"Holder,Sensor",
AJR73965606,4930A20053A,"Holder,Sensor",
AJR73965607,4930A20053A,"Holder,Sensor",
AJR73965701,4930A20053A,"Holder,Sensor",
AJR73970512,MJU61848906,"Tube,Connector",
AJR73970512,MJU61848910,"Tube,Connector",
AJR73970512,MJU63031904,"Tube,Suction",
AJR73980306,4930A20053A,"Holder,Sensor",
AJR73980306,5210A30334L,"Tube,Pinch Off",
AJR73980317,4930A20053A,"Holder,Sensor",
AJR73980317,5210A30334L,"Tube,Pinch Off",
AJR73980318,4930A20053A,"Holder,Sensor",
AJR73980318,5210A30334L,"Tube,Pinch Off",
AJR73980320,4930A20053A,"Holder,Sensor",
AJR73980320,5210A30334L,"Tube,Pinch Off",
AJR73980322,4930A20053A,"Holder,Sensor",
AJR73980322,5210A30334L,"Tube,Pinch Off",
AJR73980323,4930A20053A,"Holder,Sensor",
AJR73980323,5210A30334L,"Tube,Pinch Off",
AJR73981108,AJJ73640107,Supporter Assembly,
AJR74062502,EAP30616906,"Coil,Expansion",
AJR74107911,4930A20053A,"Holder,Sensor",
AJR74107912,4930A20053A,"Holder,Sensor",
AJR74107915,4930A20053A,"Holder,Sensor",
AJR74145401,4930A20053A,"Holder,Sensor",
AJR74145402,4930A20053A,"Holder,Sensor",
AJR74162501,4H00049A,"Tube,Pinch Off",
AJR74162503,4H00049A,"Tube,Pinch Off",
AJR74204401,4930A20053A,"Holder,Sensor",
AJR74205202,4H00049A,"Tube,Pinch Off",
AJR74207301,4930A20053A,"Holder,Sensor",
AJR74227601,4H00049A,"Tube,Pinch Off",
AJR74230002,5210A30334L,"Tube,Pinch Off",
AJR74242301,4H00049A,"Tube,Pinch Off",
AJR74242310,4H00049A,"Tube,Pinch Off",
AJR74243201,4H00049A,"Tube,Pinch Off",
AJR74243204,4H00049A,"Tube,Pinch Off",
AJR74243206,4H00049A,"Tube,Pinch Off",
AJR74282902,4930A20053A,"Holder,Sensor",
AJR74286001,4930A20053A,"Holder,Sensor",
AJR74286002,4930A20053A,"Holder,Sensor",
AJR74288904,4930A20053A,"Holder,Sensor",
AJR74288904,5210A30334L,"Tube,Pinch Off",
AJR74291202,4930A20053A,"Holder,Sensor",
AJR74365101,4930A20053A,"Holder,Sensor",
AJR74365101,5210A30334L,"Tube,Pinch Off",
AJR74365202,4930A20053A,"Holder,Sensor",
AJR74365205,4930A20053A,"Holder,Sensor",
AJR74366606,MJU65187807,"Tube,Connector",
AJR74424501,4H00049A,"Tube,Pinch Off",
AJR74424506,4H00049A,"Tube,Pinch Off",
AJR74424620,MJU63651002,"Tube,Connector",
AJR74424620,MJU63651005,"Tube,Connector",
AJR74424620,MJU63651009,"Tube,Connector",
AJR74425401,4H00049A,"Tube,Pinch Off",
AJR74425403,4H00049A,"Tube,Pinch Off",
AJR74425405,4H00049A,"Tube,Pinch Off",
AJR74444508,4930A20053A,"Holder,Sensor",
AJR74444508,4H00049A,"Tube,Pinch Off",
AJR74444509,4H00049A,"Tube,Pinch Off",
AJR74462301,4930A20053A,"Holder,Sensor",
AJR74462302,4930A20053A,"Holder,Sensor",
AJR74462303,4930A20053A,"Holder,Sensor",
AJR74663217,4930A20053A,"Holder,Sensor",
AJR74683101,4930A20053A,"Holder,Sensor",
AJR74683101,5210A30334L,"Tube,Pinch Off",
AJR74683102,4930A20053A,"Holder,Sensor",
AJR74683102,5210A30334L,"Tube,Pinch Off",
AJR74702901,4930A20053A,"Holder,Sensor",
AJR74803102,4H00049A,"Tube,Pinch Off",
AJR74803514,4930A20053A,"Holder,Sensor",
AJR74803514,MJU65026401,"Tube,Manifold",
AJR74803537,MJU65026413,"Tube,Manifold",
AJR74844307,4930A20053A,"Holder,Sensor",
AJR74844310,4930A20053A,"Holder,Sensor",
AJR74844316,4930A20053A,"Holder,Sensor",
AJR74844318,4930A20053A,"Holder,Sensor",
AJR74925001,4H00049A,"Tube,Pinch Off",
AJR74964501,4930A20053A,"Holder,Sensor",
AJR74964501,5210A30334L,"Tube,Pinch Off",
AJR74964701,4930A20053A,"Holder,Sensor",
AJR74983801,4930A20053A,"Holder,Sensor",
AJR74983802,4930A20053A,"Holder,Sensor",
AJR74983902,EBF40271416,"Switch,Pressure",
AJR74983903,EBF40271416,"Switch,Pressure",
AJR74984303,MJU64427302,"Tube,Connector",
AJR74984501,MJU64427801,"Tube,Connector",
AJR74985201,4930A20053A,"Holder,Sensor",
AJR74985202,4930A20053A,"Holder,Sensor",
AJR74985204,4930A20053A,"Holder,Sensor",
AJR75062906,4930A20053A,"Holder,Sensor",
AJR75062907,4930A20053A,"Holder,Sensor",
AJR75102501,4H00049A,"Tube,Pinch Off",
AJR75104601,4930A20053A,"Holder,Sensor",
AJR75123701,4H00049A,"Tube,Pinch Off",
AJR75123901,4H00049A,"Tube,Pinch Off",
AJR75462802,MJU64688301,"Tube,Connector",
AJR75463001,MJU64688604,"Tube,Connector",
AJR75463001,MJU64688808,"Tube,Connector",
AJR75463304,4930A20053A,"Holder,Sensor",
AJR75463304,MJU64708303,"Tube,Connector",
AJR75464602,5210A30334L,"Tube,Pinch Off",
AJR75464603,5210A30334L,"Tube,Pinch Off",
AJR75482702,5210A30334L,"Tube,Pinch Off",
AJR75483702,4930A20053A,"Holder,Sensor",
AJR75522803,4930A20053A,"Holder,Sensor",
AJR75522803,4H00049A,"Tube,Pinch Off",
AJR75522901,4H00049A,"Tube,Pinch Off",
AJR75524701,4H00049A,"Tube,Pinch Off",
AJR75544201,MAZ64571702,Bracket,
AJR75544201,MAZ64571803,Bracket,
AJR75563502,MJU64794404,"Tube,Connector",
AJR75563602,MJU64809801,"Tube,Connector",
AJR75563602,MJU64809802,"Tube,Connector",
AJR75563602,MJU64809804,"Tube,Connector",
AJR75563602,MJU64809805,"Tube,Connector",
AJR75563602,MJU64809806,"Tube,Connector",
AJR75563602,MJU64809807,"Tube,Connector",
AJR75563602,MJU64809808,"Tube,Connector",
AJR75563602,MJU64809809,"Tube,Connector",
AJR75563602,MJU64809810,"Tube,Connector",
AJR75563602,MJU64933001,"Tube,Connector",
AJR75563602,MJU64933002,"Tube,Connector",
AJR75563602,MJU64979002,"Tube,Connector",
AJR75563701,5210A30334L,"Tube,Pinch Off",
AJR75563702,5210A30334L,"Tube,Pinch Off",
AJR75624402,4H00049A,"Tube,Pinch Off",
AJR75645606,4930A20053A,"Holder,Sensor",
AJR75662310,4930A20053A,"Holder,Sensor",
AJR75704003,5210A30334L,"Tube,Pinch Off",
AJR75713101,4H00049A,"Tube,Pinch Off",
AJR75713301,4930A20053A,"Holder,Sensor",
AJR75713301,4H00049A,"Tube,Pinch Off",
AJR75723702,4930A20053A,"Holder,Sensor",
AJR75743301,5210A30334L,"Tube,Pinch Off",
AJR75744510,5220A20006J,"Valve,Service",
AJR75802401,4H00049A,"Tube,Pinch Off",
AJR75804101,MJU64688604,"Tube,Connector",
AJR75804101,MJU64688808,"Tube,Connector",
AJR75805201,4H00049A,"Tube,Pinch Off",
AJR75983001,4H00049A,"Tube,Pinch Off",
AJR75983003,MJU65187807,"Tube,Connector",
AJR75983005,4H00049A,"Tube,Pinch Off",
AJR75983008,MJU65187807,"Tube,Connector",
AJR76264102,5210A30334L,"Tube,Pinch Off",
AJR76363001,4930A20053A,"Holder,Sensor",
AJR76363002,4930A20053A,"Holder,Sensor",
AJR76402407,4930A20053A,"Holder,Sensor",
AJR76402407,5210A30334L,"Tube,Pinch Off",
AJR76402407,MJU66466401,"Tube,Connector",
AJR76402409,4930A20053A,"Holder,Sensor",
AJR76402409,5210A30334L,"Tube,Pinch Off",
AJR76402409,MJU66466401,"Tube,Connector",
AJR76442702,4H00049A,"Tube,Pinch Off",
AJR76502610,AJR30083901,Tube Assembly,
AJR76502614,AJR30083901,Tube Assembly,
AJR76523008,AJJ73040828,Supporter Assembly,
AJR76523011,AJJ73040839,Supporter Assembly,
AJR76523011,AJR71433341,"Tube Assembly,Expansion",
AJR76523012,AJJ73040839,Supporter Assembly,
AJR76562802,4H00049A,"Tube,Pinch Off",
AJR76562804,4H00049A,"Tube,Pinch Off",
AJR76663201,4930A20053A,"Holder,Sensor",
AJR76663206,4930A20053A,"Holder,Sensor",
AJR76703602,4930A20053A,"Holder,Sensor",
AJR76703612,4930A20053A,"Holder,Sensor",
AJR76742301,4930A20053A,"Holder,Sensor",
AJR76742303,4930A20053A,"Holder,Sensor",
AJR76742305,4930A20053A,"Holder,Sensor",
AJR76742310,4930A20053A,"Holder,Sensor",
AJR76742312,4930A20053A,"Holder,Sensor",
AJR76742314,4930A20053A,"Holder,Sensor",
AJR76902301,4930A20053A,"Holder,Sensor",
AJR76902302,4930A20053A,"Holder,Sensor",
AJR77144201,4H00049A,"Tube,Pinch Off",
AJR77144207,4H00049A,"Tube,Pinch Off",
AJR77144301,4H00049A,"Tube,Pinch Off",
AJR77144302,4H00049A,"Tube,Pinch Off",
AJR77144305,4H00049A,"Tube,Pinch Off",
AJR77144306,4H00049A,"Tube,Pinch Off",
AJR77163101,MJU66366806,"Tube,Connector",
AJR77189101,4930A20053A,"Holder,Sensor",
AJR77189103,4930A20053A,"Holder,Sensor",
AJR77202901,MJU64870703,"Tube,Capillary Bending",
AJR77202901,MJU66366311,"Tube,Connector",
AJR77202902,MJU64870703,"Tube,Capillary Bending",
AJR77202902,MJU66366311,"Tube,Connector",
AJR77222902,AJR77223002,"Tube Assembly,Reverse",
AJR77222905,AJR77223005,"Tube Assembly,Reverse",
AJR77224501,AJR77188701,"Tube Assembly,Solenoide",
AJR77224502,AJR77188701,"Tube Assembly,Solenoide",
AJR77224503,AJR77188701,"Tube Assembly,Solenoide",
AJR77224504,AJR77188701,"Tube Assembly,Solenoide",
AJR77224505,AJR77188701,"Tube Assembly,Solenoide",
AJR77224506,MJU66478404,"Tube,Connector",
AJR77224509,AJR77188701,"Tube Assembly,Solenoide",
AJR77224510,AJR77188701,"Tube Assembly,Solenoide",
AJR77224519,AJR77188701,"Tube Assembly,Solenoide",
AJR77224901,4930A20053A,"Holder,Sensor",
AJR77225301,4930A20053A,"Holder,Sensor",
AJR77225303,4930A20053A,"Holder,Sensor",
AJR77225304,4930A20053A,"Holder,Sensor",
AJR77225305,4930A20053A,"Holder,Sensor",
AJR77225305,MJU66760006,"Tube,Connector",
AJR77225306,4930A20053A,"Holder,Sensor",
AJR77225306,MJU66760006,"Tube,Connector",
AJR77225607,MJU66571711,"Tube,Connector",
AJR77225607,MJU66571712,"Tube,Connector",
AJR77225607,MJU66571713,"Tube,Connector",
AJR77226301,4930A20053A,"Holder,Sensor",
AJR77226302,4930A20053A,"Holder,Sensor",
AJR77226303,4930A20053A,"Holder,Sensor",
AJR77226304,4930A20053A,"Holder,Sensor",
AJR77226304,MJU66760005,"Tube,Connector",
AJR77243801,4930A20053A,"Holder,Sensor",
AJR77263001,MJU66503301,"Tube,Connector",
AJR77263002,MJU65517910,"Tube,Connector",
AJR77263002,MJU66502902,"Tube,Connector",
AJR77263003,MJU66503303,"Tube,Connector",
AJR77263004,MJU66503301,"Tube,Connector",
AJR77263005,MJU66503303,"Tube,Connector",
AJR77263006,MJU66503303,"Tube,Connector",
AJR77263011,MJU66503303,"Tube,Connector",
MJU62078901,7072A90001B,"Tube,Raw",
