품번,거래처,업체시트,입고수량,최근입고,원소재,사급부품,용접봉,가공비,동소요kg,판가,flags
MJU63470903,중앙정밀,중앙정밀 (2),5,260727,144,0,0,71,0.0189,214,
MJU63616901,케이비,케이비 (2),130,260722,102,0,0,49,0.0083,151,
MJU63787801,케이비,케이비 (2),4462,260729,560,0,0,151,0.039,711,
MJU63908201,케이비,케이비 (2),20,260728,1421,0,0,248,0.1129,1668,
MJU63947901,케이비,케이비 (2),15,260710,1514,0,0,273,0.1203,1786,
MJU65048401,대원산업,대원산업 (3),476,260728,313,0,0,54,0.0157,367,
MJU66478501,대원산업,대원산업 (3),5677,260729,342,0,0,63,0.0171,405,
MJU66548505,케이비,케이비 (2),5,260707,687,0,0,133,0.0555,820,
MJU66548901,케이비,케이비 (2),5,260707,387,0,0,124,0.0307,510,
MJU66566803,케이비,케이비 (2),450,260310,2191,0,0,301,0.1526,2492,
MJU66824501,대원산업,대원산업 (3),365,260730,108,0,0,27,0.0144,135,
MJU66889701,명진산업,명진산업 (2),2092,260616,0,0,0,0,0.0096,0,
MJU66889801,명진산업,명진산업 (2),2106,260616,240,0,0,60,0.0216,299,
