item,item_name,weld_item,use_qty,routing_weldST,child_diams,n_solutions,possible_combos,kind,reason
AJR30028405,Tube Assembly,RAC36134101,0.00066,0.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",0,,재현실패,"후보관경[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1] routingST(횟수)=0.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR30028409,Tube Assembly,RAC36134101,0.00066,0.0,[22.0],0,,재현실패,후보관경[22.0] routingST(횟수)=0.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)
AJR30133603-SUB,고주파 SUB,RAC30599301-1,0.158,0.0,[28.0],0,,재현실패,후보관경[28.0] routingST(횟수)=0.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)
AJR37161107,"Tube Assembly,Suction(Outdoor)",RAC30599301-1,0.0011,3.0,"[6.35, 9.52]",0,,재현실패,"후보관경[6.35, 9.52] routingST(횟수)=3.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR72928103,"Tube Assembly,Expansion",RAC30599301-1,0.00658,12.0,"[12.7, 25.4]",0,,재현실패,"후보관경[12.7, 25.4] routingST(횟수)=12.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR72928401,"Tube Assembly,Expansion",RAC30599301-1,0.0285,32.0,"[7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 38.1]",0,,재현실패,"후보관경[7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 38.1] routingST(횟수)=32.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR73767413,"Tube Assembly,Expansion",RAC30599301-1,0.0042,5.0,"[9.52, 12.7]",0,,재현실패,"후보관경[9.52, 12.7] routingST(횟수)=5.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR73822504,Tube Assembly,RAC30599301-1,0.0012,4.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",0,,재현실패,"후보관경[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1] routingST(횟수)=4.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR74182305,"Tube Assembly,Expansion",RAC30599301-1,0.00615,3.0,[12.7],0,,재현실패,후보관경[12.7] routingST(횟수)=3.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)
AJR74524701,Tube Assembly,RAC30599301-1,0.00439,4.0,[6.35],0,,재현실패,후보관경[6.35] routingST(횟수)=4.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)
AJR74524704,Tube Assembly,RAC30599301-1,0.005,6.0,"[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1]",0,,재현실패,"후보관경[4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1] routingST(횟수)=6.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR75463001-SUB1,사내 SUB,RAC30599301-1,0.0127,0.0,"[6.35, 28.0, 38.1]",0,,재현실패,"후보관경[6.35, 28.0, 38.1] routingST(횟수)=0.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR75463001-SUB2,사내 SUB,RAC30599301-1,0.0127,0.0,[28.0],0,,재현실패,후보관경[28.0] routingST(횟수)=0.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)
AJR75463001-SUB3,사내 SUB,RAC30599301-1,0.0127,0.0,"[9.52, 19.05, 22.0]",0,,재현실패,"후보관경[9.52, 19.05, 22.0] routingST(횟수)=0.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR75522802,"Tube Assembly,Suction",RAC30599301-1,0.00476,6.0,"[6.35, 9.52, 15.88]",0,,재현실패,"후보관경[6.35, 9.52, 15.88] routingST(횟수)=6.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
AJR75563401-은납,AJR75563401-SUB,RAC30599327,0.00125,0.0,[9.52],0,,재현실패,후보관경[9.52] routingST(횟수)=0.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)
AJR75710506,Tube Assembly,RAC30599301-1,0.00248,2.0,"[7.94, 15.88]",0,,재현실패,"후보관경[7.94, 15.88] routingST(횟수)=2.0 → 소요량/횟수 정수해 없음(수기값·rod혼재·관경부족 의심)"
