item,item_name,weld_item,use_qty,routing_weldST,derived,recon_use,recon_st,match,note
AJR37161107,"Tube Assembly,Suction(Outdoor)",RAC30599301-1,0.0011,3.0,,,,애매,"재현실패(후보관경 [6.35, 9.52], ST=3.0)"
AJR72928103,"Tube Assembly,Expansion",RAC30599301-1,0.00658,12.0,,,,애매,"재현실패(후보관경 [12.7, 25.4], ST=12.0)"
AJR72928401,"Tube Assembly,Expansion",RAC30599301-1,0.0285,32.0,,,,애매,"재현실패(후보관경 [7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 38.1], ST=32.0)"
AJR73767413,"Tube Assembly,Expansion",RAC30599301-1,0.0042,5.0,,,,애매,"재현실패(후보관경 [9.52, 12.7], ST=5.0)"
AJR73822504,Tube Assembly,RAC30599301-1,0.0012,4.0,,,,애매,"재현실패(후보관경 [4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1], ST=4.0)"
AJR73822515,Tube Assembly,RAC30599301-1,0.00496,4.0,4.76φ×3+15.88φ×1 | 5.0φ×3+15.88φ×1,,,애매,다관경 조합 2개(복수해)
AJR73822516,Tube Assembly,RAC30599301-1,0.00496,4.0,4.76φ×3+15.88φ×1 | 5.0φ×3+15.88φ×1,,,애매,다관경 조합 2개(복수해)
AJR73964602,"Tube Assembly,Discharge(Outdoor)",RAC30599301-1,0.01015,0.0,4.76φ×3+28.0φ×1 | 5.0φ×3+28.0φ×1 | 12.7φ×3+25.4φ×1,,,애매,다관경 조합 3개(복수해)
AJR73964607,"Tube Assembly,Discharge(Outdoor)",RAC30599301-1,0.01015,0.0,4.76φ×3+28.0φ×1 | 5.0φ×3+28.0φ×1 | 12.7φ×3+25.4φ×1,,,애매,다관경 조합 3개(복수해)
AJR73988107,"Tube Assembly,Reverse",RAC30599301-1,0.0082,0.0,6.35φ×1+28.0φ×1 | 7.94φ×1+28.0φ×1 | 9.52φ×1+28.0φ×1,,,애매,다관경 조합 3개(복수해)
AJR74182305,"Tube Assembly,Expansion",RAC30599301-1,0.00615,3.0,,,,애매,"재현실패(후보관경 [12.7], ST=3.0)"
AJR74524701,Tube Assembly,RAC30599301-1,0.00439,4.0,,,,애매,"재현실패(후보관경 [6.35], ST=4.0)"
AJR74524704,Tube Assembly,RAC30599301-1,0.005,6.0,,,,애매,"재현실패(후보관경 [4.76, 5.0, 6.35, 7.94, 9.52, 12.7, 15.88, 19.05, 22.0, 25.4, 28.0, 31.75, 34.9, 38.1], ST=6.0)"
AJR74985204,"Tube Assembly, Expansion",RAC30599301,0.0069,0.0,6.35φ×2+12.7φ×3 | 6.35φ×3+19.05φ×1 | 7.94φ×2+12.7φ×3,,,애매,다관경 조합 6개(복수해)
AJR75463001-SUB1,사내 SUB,RAC30599301-1,0.0127,0.0,,,,애매,"재현실패(후보관경 [6.35, 28.0, 38.1], ST=0.0)"
AJR75463001-SUB2,사내 SUB,RAC30599301-1,0.0127,0.0,,,,애매,"재현실패(후보관경 [28.0], ST=0.0)"
AJR75463001-SUB3,사내 SUB,RAC30599301-1,0.0127,0.0,,,,애매,"재현실패(후보관경 [9.52, 19.05, 22.0], ST=0.0)"
AJR75522802,"Tube Assembly,Suction",RAC30599301-1,0.00476,6.0,,,,애매,"재현실패(후보관경 [6.35, 9.52, 15.88], ST=6.0)"
AJR75563401,"Tube Assembly,Manifold(Indoor)",RAC30599301-1,0.0048,0.0,6.35φ×4 | 9.52φ×4,,,애매,다관경 조합 2개(복수해)
AJR75563401-은납,AJR75563401-SUB,RAC30599327,0.00125,0.0,,,,애매,"재현실패(후보관경 [9.52], ST=0.0)"
AJR75710506,Tube Assembly,RAC30599301-1,0.00248,2.0,,,,애매,"재현실패(후보관경 [7.94, 15.88], ST=2.0)"
AJR77224504-S1-2,사내 SUB,RAC30599301-1,0.0132,10.0,4.76φ×4+12.7φ×6 | 5.0φ×4+12.7φ×6 | 6.35φ×6+12.7φ×4,,,애매,다관경 조합 8개(복수해)
AJR77224505-S1-2,사내 SUB,RAC30599301-1,0.0114,9.0,6.35φ×7+12.7φ×2 | 6.35φ×8+15.88φ×1 | 7.94φ×7+12.7φ×2,,,애매,다관경 조합 6개(복수해)
AJR77224506-S1-2,사내 SUB,RAC30599301-1,0.0054,4.0,6.35φ×2+12.7φ×2 | 6.35φ×3+15.88φ×1 | 7.94φ×2+12.7φ×2,,,애매,다관경 조합 6개(복수해)
AJR77224510-S1-2,사내 SUB,RAC30599301-1,0.0114,0.0,25.4φ×2 | 38.1φ×1,,,애매,다관경 조합 2개(복수해)
AJR77224518-S1-2,사내 SUB,RAC30599301-1,0.006,0.0,6.35φ×5 | 7.94φ×5 | 9.52φ×5,,,애매,다관경 조합 4개(복수해)
AJR77225610-SUB1,AJR77225610-SUB 용,RAC30599301-1,0.015,0.0,9.52φ×7+19.05φ×2 | 9.52φ×2+22.0φ×3 | 9.52φ×9+22.0φ×1,,,애매,다관경 조합 4개(복수해)
