item,item_name,use_qty,routing_weldST,in_lg_bom,last_prod_date,triage,checkpoint
AJR75563401-은납,AJR75563401-SUB,0.00125,0.0,1,2026-05-06,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR75710506,Tube Assembly,0.00248,2.0,1,2025-06-04,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224504-S1-2,사내 SUB,0.0132,10.0,1,2026-06-10,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224504-S1-3,사내 SUB,0.0072,4.0,1,2025-09-12,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224505-S1-2,사내 SUB,0.0114,9.0,1,2026-07-13,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224505-S1-3,사내 SUB,0.0072,4.0,1,2025-10-01,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224506-S1-2,사내 SUB,0.0054,4.0,1,2025-08-31,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224507-S1-2,사내 SUB,0.006,4.0,1,2024-11-25,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224510-S1-2,사내 SUB,0.0114,0.0,1,2026-07-31,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224510-S1-3,사내 SUB,0.0072,0.0,1,2025-10-01,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224516-S1-2,사내 SUB,0.003,0.0,1,2026-03-03,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77224518-S1-2,사내 SUB,0.006,0.0,1,2026-04-22,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
AJR77225610-SUB1,AJR77225610-SUB 용,0.015,0.0,1,2026-04-07,정비대상(LG용접봉有·용접가능성高),관경별 용접횟수 입력 필요 — 실제 몇파이 몇점? (routingST 참고)
5211A10305F-은납,은납 SUB,0.0012,1.0,0,2026-03-11,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
5211A10305J-SUB,은납-SUB,0.0012,0.0,0,2026-07-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
5211A10305T-은납,은납-sub,0.0012,0.0,0,2026-01-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
5211A11604C-은납,은납-SUB,0.0015,0.0,0,2026-04-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
5211A20459K,"Tube Assembly,Discharge(Indoor)",0.00225,1.0,0,2026-04-13,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
5211A20459L-은납,5211A20459L-SUB,0.006,0.0,0,2026-04-02,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
5211A29907A,5211A29907A,0.0008,1.0,0,2026-07-03,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
5211A29907A,5211A29907A,0.0083,11.0,0,2026-07-03,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
5425AP7108C,"Tube Assembly,Capillary",0.0201,0.0,0,2025-11-24,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
ADM73210506,판형 Assembly(알파라발),0.0171,4.0,0,2026-07-06,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
ADM73210510,Exchanger Assembly,0.0172,4.0,0,2026-07-21,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
ADM73210510,Exchanger Assembly,0.0036,0.0,0,2026-07-21,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
ADM74930503,판형 열교환기,0.0171,4.0,0,2025-07-18,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
ADM74930506,판형 열교환기(스웹),0.0171,4.0,0,2026-07-29,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
ADM74930506,판형 열교환기(스웹),0.00249,0.0,0,2026-07-29,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJJ73898618,Supporter Assembly,0.00335,0.0,0,2025-06-23,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJJ73898620,Supporter Assembly,0.00335,0.0,0,2025-08-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJJ73898629,Supporter Assembly,0.002,2.0,0,2025-08-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJJ74578314,Supporter Assembly,0.00498,4.0,0,2026-07-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJJ74578316,Supporter Assembly,0.0042,3.0,0,2026-07-13,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJJ74578326,Supporter Assembly,0.0018,1.0,0,2026-07-06,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR30008101-SUB,AJR30008101-고주파,0.0153,0.0,0,2024-10-11,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027710-SUB1,SUB,0.0153,0.0,0,2026-06-16,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027710-SUB2,SUB,0.0126,0.0,0,2026-06-16,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027711-SUB,고주파 SUB,0.0086,0.0,0,2026-07-27,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027711-SUB1,AJR30027711-SUB1 용접,0.0177,0.0,0,2026-07-27,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027711-SUB2,AJR30027711-SUB2 용접,0.0113,0.0,0,2026-07-27,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027711-SUB3,AJR30027711-SUB3 용접,0.0036,0.0,0,2026-07-27,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027712-SUB,고주파 SUB,0.0086,0.0,0,2026-06-17,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027712-SUB1,AJR30027712-SUB1 용접,0.0336,0.0,0,2026-06-18,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30027712-SUB2,AJR30027712-SUB2 용접,0.0353,0.0,0,2026-06-18,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30028405,Tube Assembly,0.01125,2.0,0,2026-01-30,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR30028409,Tube Assembly,0.0099,2.0,0,2026-02-02,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR30055501-SUB,은납-SUB,0.0012,0.0,0,2025-06-27,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30069702-저압,AJR30069702-SUB,0.0012,1.0,0,2026-07-29,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR30069801-고압,AJR30069801-SUB,0.0012,1.0,0,2026-07-13,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR30107702,"Tube Assembly, Manifold(Indoor)",0.0114,0.0,0,2026-07-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30114001-은납,은납-SUB,0.0012,0.0,0,2026-07-27,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30118401,"Tube Assembly, Connector",0.0024,2.0,0,2026-07-15,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR30133601-SUB,고주파 SUB,0.0225,0.0,0,2026-07-30,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR30578502,"Tube Assembly,Condenser(Out)",0.006,0.0,0,2024-11-27,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR32674708,"Tube Assembly,Evaporator(In)",0.00568,8.0,0,2026-05-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR32883902-은납,은납 SUB,0.0018,1.0,0,2026-05-19,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR32883906,"Tube Assembly,Manifold(Indoor)",0.0018,1.0,0,2026-07-14,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR32883908-은납,AJR32883908-SUB,0.0018,1.0,0,2026-07-06,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR33796503-SUB,체결 SUB,0.0024,0.0,0,2025-07-31,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR34407805-SUB,은납-SUB,0.0018,0.0,0,2024-11-18,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR36479502,"Tube Assembly,Condenser(Out)",0.014,13.0,0,2025-10-20,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR36479508,"Tube Assembly,Condenser(Out)",0.0046,6.0,0,2025-07-14,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR36541603-SUB1,은납-SUB,0.0018,1.0,0,2026-02-13,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR37039702,"Tube Assembly,Manifold(Indoor)",0.0033,1.0,0,2026-07-03,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR37039703-SUB,은납-SUB,0.0018,1.0,0,2025-04-25,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR67734302,1-way 표준화 전 제품,0.0015,1.0,0,2025-05-13,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR68019501-S6-1,사내 SUB,0.0012,1.0,0,2026-07-22,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR68019506-S6-1,사내 SUB,0.0024,1.0,0,2026-07-22,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR68019507-S6-1,사내 SUB,0.0024,1.0,0,2026-02-13,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR71429409,"Tube Assembly,Reverse",0.005,0.0,0,2024-09-25,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR71429415,"Tube Assembly,Reverse",0.005,4.0,0,2026-06-23,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR71429439,"Tube Assembly,Reverse",0.00505,5.0,0,2024-11-12,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR72586221,"Tube Assembly,Discharge(Outdoor)",0.00225,0.0,0,2026-06-11,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR72586225,"Tube Assembly,Discharge(Outdoor)",0.0018,0.0,0,2026-06-17,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR72919802,"Tube Assembly,Connector",0.0008,1.0,0,2025-07-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR73063201-S6-1,사내 SUB,0.0057,6.0,0,2026-02-02,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR73324406-은납,AJR73324406-SUB,0.0018,0.0,0,2026-06-04,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR73910201,Tube Assembly,0.0024,0.0,0,2026-07-24,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74107912,"Tube Assembly,Discharge(Outdoor)",0.0015,0.0,0,2025-09-19,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74229401-저압,AJR74229401-SUB,0.0063,0.0,0,2025-05-23,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74290001-고압,AJR74290001-SUB,0.0012,0.0,0,2025-05-23,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74424615,SUB ASSY,0.00725,6.0,0,2025-02-17,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR74803001,"Tube Assembly,Capillary",0.0062,0.0,0,2024-09-03,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74803001,"Tube Assembly,Capillary",0.0008,1.0,0,2024-09-03,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR74844309-은납,AJR74844309-SUB,0.0018,1.0,0,2026-07-16,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR74844310-은납,AJR74844310-SUB,0.0036,1.0,0,2026-07-16,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR74844314-은납,은납-SUB,0.0018,0.0,0,2026-02-12,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74923001-은납,AJR74923001-SUB,0.0018,0.0,0,2025-06-11,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74923004-SUB,은납-SUB,0.0018,0.0,0,2026-02-25,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74942617-고압,AJR74942617-SUB,0.0012,0.0,0,2026-07-20,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74942623-고압,AJR74942623-SUB,0.0012,0.0,0,2026-06-29,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74942627-고압,AJR74942627-SUB,0.0012,0.0,0,2026-06-24,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74942632-고압,AJR74942632-SUB,0.0012,0.0,0,2026-06-29,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74942709-저압,AJR74942709-SUB,0.0015,0.0,0,2026-06-26,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74942724-저압,AJR74942724-SUB,0.0015,0.0,0,2026-07-20,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74942730-저압,AJR74942730-SUB,0.0015,0.0,0,2026-06-24,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74962901-SUB,AJR74962901-은납,0.0036,0.0,0,2025-06-09,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74962907-SUB,은납-SUB,0.0018,0.0,0,2026-02-12,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74963003,"Tube Assembly,Manifold(Indoor)",0.0012,0.0,0,2026-07-29,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR74984403-SUB3,사내 SUB,0.0012,0.0,0,2026-07-29,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR75104701,"Tube Assembly,Capillary",0.0012,0.0,0,2026-06-09,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR75242801-고압,AJR75242801-SUB,0.0012,0.0,0,2026-07-13,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR75243006-저압,AJR75243006-SUB,0.0012,0.0,0,2026-07-08,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR75463110,"Tube Assembly,Expansion",0.0196,8.0,0,2026-04-21,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75482701,"Tube Assembly,Distributor",0.001,1.0,0,2026-06-19,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75482701,"Tube Assembly,Distributor",0.0008,1.0,0,2026-06-19,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75482702,"Tube Assembly,Distributor",0.001,1.0,0,2026-07-10,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75482702,"Tube Assembly,Distributor",0.0008,1.0,0,2026-07-10,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75482702-SUB,AJR75482701-고주파,0.0105,0.0,0,2026-07-07,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR75482702-SUB,AJR75482701-고주파,0.0067,0.0,0,2026-07-07,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR75483401,"Tube Assembly,Expansion",0.0144,20.0,0,2026-05-06,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75563501-은납,AJR75563501-SUB,0.0012,0.0,0,2026-07-13,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR75604801,Tube Assembly,0.00294,7.0,0,2026-06-05,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75645801,"Tube Assembly,Condenser(Out)",0.00635,8.0,0,2025-08-28,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75744401-SUB,은납-sub,0.0018,0.0,0,2025-09-29,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST도 없음 → 용접공정 없을수도, 부자재/제외 확인"
AJR75923201,"Tube Assembly,Suction",0.00605,5.0,0,2025-09-24,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR75983001,"Tube Assembly,Reverse",0.01874,16.0,0,2024-11-08,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR76523005,"Tube Assembly,Reverse",0.0028,2.0,0,2025-06-20,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR76523007,"Tube Assembly,Reverse",0.0028,2.0,0,2026-02-03,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR76523008,"Tube Assembly,Reverse",0.0028,2.0,0,2026-07-22,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
AJR76562403,"Tube Assembly,Reverse",0.0031,2.0,0,2025-09-18,확인후 부자재·제외후보(LG용접봉無),"routing 용접ST 있음 → 용접 실재 가능, 관경확인"
